\\10.23.0.9\Work - Dsystems\ПРОЕКТЫ\Испытания Дагестанский ППУ\Испытания на вибростоле\2023-07-28\SR11\5.EDT
28/07/23,09:29:31
VIN: 000218BF	FSmp: 1500.0
T[sec]	X[м/с2]	Y[м/с2]	
0.299333	3.04924e-05	-0.0334501	
0.300000	0.0499465	-0.0383594	
0.300667	-0.0364994	-0.043787	
0.301333	0.00368958	-0.045769	
0.302000	0.0636376	-0.0487268	
0.302667	-0.00509223	-0.0539715	
0.303333	-0.0412562	-0.0542764	
0.304000	-0.0703154	-0.0536361	
0.304667	-0.100167	-0.0513796	
0.305333	-0.0986428	-0.0444274	
0.306000	-0.0703459	-0.0388778	
0.306667	-0.20189	-0.0287543	
0.307333	-0.117975	-0.0146363	
0.308000	-0.115261	-3.04924e-05	
0.308667	-0.0181735	0.0156426	
0.309333	-0.093764	0.0298825	
0.310000	0.0561669	0.0444884	
0.310667	0.198322	0.0542154	
0.311333	0.0330537	0.0596126	
0.312000	0.220277	0.0624789	
0.312667	0.157097	0.0582709	
0.313333	0.157646	0.0515626	
0.314000	0.0333282	0.0404024	
0.314667	-0.0879705	0.0318645	
0.315333	0.0323829	0.0254306	
0.316000	0.0573866	0.0152462	
0.316667	0.0454946	0.00652537	
0.317333	0.1517	-0.00436041	
0.318000	0.0656196	-0.0176551	
0.318667	-0.0595516	-0.030035	
0.319333	-0.0978195	-0.0392437	
0.320000	0.00368958	-0.0457995	
0.320667	0.0272602	-0.0524774	
0.321333	-0.125872	-0.0575696	
0.322000	-0.128251	-0.057905	
0.322667	-0.0356761	-0.0566853	
0.323333	-0.0831832	-0.0520505	
0.324000	-0.117518	-0.0464094	
0.324667	-0.204268	-0.0385728	
0.325333	-0.214056	-0.0250952	
0.326000	-0.0936116	-0.0095746	
0.326667	0.0906233	0.00664734	
0.327333	0.214117	0.0168013	
0.328000	0.149443	0.0232352	
0.328667	0.181765	0.0247903	
0.329333	0.0466838	0.0220765	
0.330000	0.11889	0.0187833	
0.330667	-0.0305838	0.0136911	
0.331333	-0.103064	0.0110382	
0.332000	-0.122	0.0107943	
0.332667	-0.164659	0.0139045	
0.333333	-0.0426283	0.0187223	
0.334000	-0.0329013	0.021802	
0.334667	0.10093	0.0256746	
0.335333	-0.0165878	0.0272602	
0.336000	0.111023	0.0271992	
0.336667	0.266656	0.0230217	
0.337333	0.139289	0.0120445	
0.338000	0.20683	0.00100625	
0.338667	0.210794	-0.0152157	
0.339333	0.155907	-0.0329318	
0.340000	0.0794021	-0.0517151	
0.340667	-0.153834	-0.0692177	
0.341333	-0.0816586	-0.0795241	
0.342000	-0.103369	-0.0880315	
0.342667	-0.26818	-0.0902269	
0.343333	-0.25824	-0.085775	
0.344000	-0.270437	-0.0745233	
0.344667	-0.234151	-0.0580575	
0.345333	0.0316816	-0.0387558	
0.346000	-0.0273517	-0.0224119	
0.346667	-0.129196	-0.00670832	
0.347333	0.0421405	0.0116176	
0.348000	0.0584234	0.0270162	
0.348667	0.0485743	0.0394266	
0.349333	0.24089	0.0491842	
0.350000	0.191584	0.0513491	
0.350667	0.185211	0.0488183	
0.351333	0.190059	0.0423539	
0.352000	0.119256	0.0323524	
0.352667	-0.14057	0.0219545	
0.353333	-0.2279	0.0162829	
0.354000	-0.253697	0.0160695	
0.354667	-0.156883	0.022046	
0.355333	-0.181826	0.028114	
0.356000	0.0571122	0.0365299	
0.356667	0.308949	0.0396706	
0.357333	0.303094	0.0329013	
0.358000	0.299588	0.0207958	
0.358667	0.249123	0.00384204	
0.359333	0.115292	-0.0177161	
0.360000	-0.0308888	-0.0372312	
0.360667	0.0175941	-0.0542764	
0.361333	-0.208293	-0.0685468	
0.362000	-0.175667	-0.0759565	
0.362667	-0.212684	-0.077786	
0.363333	-0.0690042	-0.0744014	
0.364000	-0.220063	-0.070102	
0.364667	-0.186979	-0.0583319	
0.365333	-0.1195	-0.0451592	
0.366000	-0.0242109	-0.0307363	
0.366667	-0.0172282	-0.0173197	
0.367333	-0.0729072	-0.00368958	
0.368000	0.0255526	0.0101845	
0.368667	0.00259185	0.0226558	
0.369333	0.141698	0.0318645	
0.370000	-0.133922	0.037963	
0.370667	0.00131117	0.0481779	
0.371333	-0.0830307	0.0548558	
0.372000	-0.0627533	0.0625094	
0.372667	0.0429637	0.0704984	
0.373333	-0.10837	0.0759565	
0.374000	0.243177	0.0814451	
0.374667	0.401889	0.0776336	
0.375333	0.195334	0.0636071	
0.376000	0.281902	0.0471717	
0.376667	0.124622	0.0244854	
0.377333	0.169263	0.00323219	
0.378000	0.0295471	-0.022046	
0.378667	-0.15981	-0.0427808	
0.379333	0.0213142	-0.0575086	
0.380000	-0.0932457	-0.0726023	
0.380667	0.0142094	-0.0829087	
0.381333	0.073822	-0.0933981	
0.382000	-0.226528	-0.102058	
0.382667	-0.249489	-0.102576	
0.383333	-0.277481	-0.0965998	
0.384000	-0.0240585	-0.0843114	
0.384667	-0.106571	-0.0725413	
0.385333	-0.200457	-0.0574476	
0.386000	0.206128	-0.0402194	
0.386667	0.0890987	-0.0305229	
0.387333	-0.0197895	-0.0207958	
0.388000	-0.229973	-0.00890377	
0.388667	-0.241195	0.00823294	
0.389333	-0.138527	0.0288153	
0.390000	0.0280225	0.0487573	
0.390667	0.128586	0.0646133	
0.391333	0.0967828	0.0755906	
0.392000	0.227473	0.0821769	
0.392667	0.300624	0.0826343	
0.393333	0.353894	0.0737915	
0.394000	0.280865	0.0573257	
0.394667	0.0601919	0.0371092	
0.395333	-0.0539105	0.0182954	
0.396000	-0.0393047	0.00271382	
0.396667	0.123829	-0.0119225	
0.397333	0.0671747	-0.0281445	
0.398000	0.0931847	-0.0444579	
0.398667	-0.0316206	-0.0604054	
0.399333	-0.107242	-0.073761	
0.400000	-0.131758	-0.0813536	
0.400667	-0.0955326	-0.0839455	
0.401333	-0.164354	-0.0855006	
0.402000	-0.152736	-0.0806218	
0.402667	-0.134166	-0.0723279	
0.403333	-0.199695	-0.0614421	
0.404000	-0.00341514	-0.0454031	
0.404667	-0.0867813	-0.0319255	
0.405333	0.029852	-0.0162829	
0.406000	0.116816	-0.00436041	
0.406667	0.0702239	0.00405548	
0.407333	0.0645218	0.012014	
0.408000	-0.0124714	0.0179905	
0.408667	0.0814146	0.0246683	
0.409333	0.0116786	0.0266808	
0.410000	0.0336026	0.0294556	
0.410667	-0.0981244	0.0310412	
0.411333	-0.164903	0.0343039	
0.412000	0.0970877	0.0415611	
0.412667	0.148955	0.0428723	
0.413333	-0.0367738	0.0397316	
0.414000	-0.0853786	0.0408903	
0.414667	-0.160237	0.0418355	
0.415333	-0.072023	0.0471717	
0.416000	0.0987343	0.0497635	
0.416667	0.151273	0.0486963	
0.417333	0.195121	0.0416526	
0.418000	0.30099	0.029791	
0.418667	0.228845	0.0144229	
0.419333	0.163378	-0.00618995	
0.420000	0.0171977	-0.0264979	
0.420667	-0.0752857	-0.0451592	
0.421333	-0.0587588	-0.0602224	
0.422000	-0.229455	-0.0709252	
0.422667	-0.262509	-0.073944	
0.423333	-0.235432	-0.0702239	
0.424000	-0.22482	-0.0615031	
0.424667	-0.173898	-0.0485438	
0.425333	-0.202134	-0.0340295	
0.426000	-0.145571	-0.0147278	
